SH
33
75
51
21
41
35
70
38
8
28
75
11
30
26
21
21
34
38
28
49
21
85
15
10
75
51
31
70
73
61
9
11
50
18
35
21
46
17
45
35
31
26
36
21
75
15
31
30
29
27
65
53
26
59
66
19
66
9
35
29
45
97
65
14
89
26
10
10
45
20
35
23
20
35
25
17
15
55
14
14
39
32
19
35
21
45
28
36
50
79
25
46
26
22
15
28
15
43
30
12
25
88
52
95
46
42
15
82
22
69
21
23
30
70
35
22
45
15
18
10
13
8
8
27
21
33
29
11
52
41
51
45
43
12
25
44
46
18
10
10
62
41
40
88
35
42
44
44
21
51
64
51
17
33
40
19
44
60
57
33
35
69
26
24
91
37
11
31
65
8
55
90
24
32
10
55
35
27
87
35
33
52
29
43
22
23
24
32
35
21
43
25
24
17
36
74
35
15
45
48
29
66
34
35
12
49
42
46
31
20
45
22
10
79
97
23
50
15
26
29
30
30
35
50
51
14
55
73
21
32
45
20
61
44
85
28
56
41
50
83
69
63
79
37
22
53
65
76
12
48
85
25
59
75
44
36
43
45
34
58
55
17
45
32
21
34
20
18
39
26
24
20
56
28
33
67
21
25
20
19
18
18
26
30
39
75
77
59
10
61
43
95
36
66
27
23
73
20
77
16
23
55
12
41
27
13
50
78
31
40
33
40
58
15
30
15
42
73
23
33
42
50
37
45
18
41
30
19
28
52
22
25
70
71
30
24
35
21
75
32
52
65
45
45
64
52
40
50
58
15
65
19
32
35
18
21
52
40
17
17
42
14
35
30
18
31
42
19
35
43
40
64
18
13
44
14
28
24
69
18
17
58
40
25
45
36
27
75
13
38
49
60
73
46
7
18
37
32
14
14
69
44
74
15
45
10
21
45
64
30
44
40
13
14
10
45
14
17
40
35
52
30
56
24
17
89
33
15
8
24
18
61
21
45
59
50
45
52
37
12
45
13
46
22
43
29
44
36
45
14
43
13
55
21
19
21
10
20
21
12
55
8
44
35
13
73
60
29
36
43
30
30
15
50
50
28
13
48
15
69
26
20
10
38
9
13
50
85
16
39
35
65
10
10
15
19
10
21
28
70
28
69
35
65
9
37
17
9
25
35
48
42
44
74
26
27
61
50
21
40
66
73
30
15
21
50
20
49
35
43
12
33
30
26
18
50
20
28
35
17
95
20
26
20
45
69
82
29
15
19
14
42
42
8
50
21
39
59
91
42
43
33
55
55
95
8
95
22
22
14
25
65
24
7
88
9
35
50
35
35
35
52
17
18
51
11
21
55
27
41
25
45
28
85
20
10
41
43
13
11
23
22
50
23
35
44
8
46
64
32
28
19
30
31
69
16
14
50
77
61
15
27
34
42
31
45
42
23
12
25
34
64
30
14
64
34
26
35
51
32
61
41
10
14
25
50
75
46
45
24
38
25
35
11
61
28
18
26
23
28
18
32
21
13
44
52
33
34
24
13
64
45
21
10
10
91
85
62
45
21
58
35
45
21
14
38
51
36
31
13
43
66
52
45
20
20
13
25
33
55
10
21
48
45
17
52
27
64
30
48
14
20
35
73
27
20
70
40
26
35
8
32
75
10
33
14
87
18
59
37
8
21
21
28
45
49
43
40
37
75
55
46
40
35
45
15
85
14
65
13
35
40
25
43
25
28
56
59
35
35
45
52
45
56
65
34
73
50
45
18
14
50
25
53
43
73
40
33
21
46
75
34
32
37
73
42
21
61
10
35
15
45
39
27
13
45
46
35
15
39
75
51
35
43
18
18
42
65
46
46
22
57
18
18
42
33
19
69
39
53
28
7
36
31
20
61
62
8
12
27
15
10
77
52
75
48
15
45
17
35
20
36
